POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1329.85,3237.02,4047.26,-3280.79,-29083.17,1448.72,14811.01,-3867.25,96.35,0.0,-7490.11,-3770.89,-11261.0
2,1269.05,3223.78,4062.2,-3225.56,-29132.78,1474.1,14863.99,-3912.97,98.76,0.0,-7465.22,-3814.21,-11279.42
3,1302.69,3105.71,4033.97,-3228.79,-29090.67,1457.71,14878.54,-3916.0,96.85,0.0,-7540.84,-3819.16,-11360.0
4,1315.21,3241.42,4053.98,-3255.17,-28994.21,1463.56,14790.35,-3945.81,96.68,0.0,-7384.86,-3849.14,-11233.99
5,1274.97,3202.39,4047.31,-3274.81,-29129.93,1485.24,14892.02,-3901.21,96.15,0.0,-7502.81,-3805.06,-11307.87
6,1277.52,3277.8,4066.82,-3284.03,-29196.25,1469.54,14824.79,-3848.47,95.31,0.0,-7563.82,-3753.16,-11316.98
7,1312.72,3172.82,4044.72,-3264.56,-29164.48,1465.33,14850.11,-3891.55,95.39,0.0,-7583.34,-3796.16,-11379.5
8,1277.12,3270.41,4046.0,-3242.36,-29090.37,1451.68,14817.86,-3932.99,96.18,0.0,-7469.67,-3836.8,-11306.47
9,1343.49,3235.45,4012.32,-3248.38,-29067.09,1451.83,14769.71,-3907.22,97.29,0.0,-7502.68,-3809.93,-11312.61
10,1296.29,3227.73,4017.3,-3295.95,-29070.26,1472.05,14867.8,-3927.08,97.04,0.0,-7485.04,-3830.04,-11315.08
11,1253.1,3239.28,3999.11,-3272.66,-29135.78,1482.22,14855.74,-3860.07,96.5,0.0,-7578.98,-3763.57,-11342.55
12,1323.2,3238.15,4060.03,-3306.28,-29144.93,1472.81,14850.06,-3858.58,95.07,0.0,-7506.95,-3763.51,-11270.46
13,1249.95,3201.25,3998.67,-3242.77,-29065.64,1456.02,14837.08,-3896.63,95.95,0.0,-7565.45,-3800.67,-11366.12
14,1279.2,3243.16,4044.28,-3294.52,-29179.76,1475.85,14920.1,-3858.17,95.43,0.0,-7511.7,-3762.74,-11274.44
15,1327.44,3236.8,4026.04,-3241.46,-29064.72,1452.71,14766.03,-3888.05,96.62,0.0,-7497.15,-3791.42,-11288.58
16,1318.46,3288.68,4045.96,-3264.16,-29076.33,1432.48,14803.15,-3812.11,95.16,0.0,-7451.76,-3716.95,-11168.71
17,1299.74,3260.46,4020.21,-3233.13,-29180.8,1460.41,14748.1,-3773.7,96.03,0.0,-7625.01,-3677.67,-11302.68
18,1283.34,3204.98,4003.68,-3258.73,-29129.46,1449.01,14853.84,-3845.1,95.78,0.0,-7593.35,-3749.31,-11342.66
19,1282.13,3232.07,4080.46,-3275.25,-29121.61,1462.36,14849.62,-3897.13,95.77,0.0,-7490.22,-3801.36,-11291.58
20,1248.97,3206.62,4068.4,-3295.06,-29007.19,1477.15,14849.78,-3972.24,96.03,0.0,-7451.33,-3876.22,-11327.55
21,1291.64,3203.02,4056.12,-3254.14,-29015.09,1440.87,14824.17,-3987.46,96.33,0.0,-7453.4,-3891.13,-11344.54
22,1257.21,3271.73,4015.11,-3263.96,-28967.53,1467.13,14839.86,-4023.22,97.07,0.0,-7380.46,-3926.15,-11306.61
23,1300.64,3305.66,4018.84,-3228.99,-29017.47,1433.77,14824.58,-4015.02,96.5,0.0,-7362.97,-3918.52,-11281.49
24,1265.91,3176.55,3980.76,-3242.92,-28925.89,1485.15,14797.85,-4035.89,95.98,0.0,-7462.58,-3939.91,-11402.5
